Rank,Fighter,Fights,Average Opponent Rating,Highest Rated Opponent
780,José Maria Tomé,2,2368,Dustin Ortiz (2013-11-09)
781,Dominick Reyes,4,2368,Ovince St. Preux (2018-10-06)
782,Dan Christison,2,2368,Frank Mir (2006-07-08)
783,Andrew Holbrook,5,2368,Gregor Gillespie (2017-04-08)
784,Nick Agallar,1,2368,Yves Edwards (2003-11-21)
785,Maurice Smith,7,2367,Mark Coleman (1997-07-27)
786,Mirko Cro Cop,11,2367,Frank Mir (2010-09-25)
787,Seo Hee Ham,4,2367,Joanne Calderwood (2014-12-12)
788,Paul Bradley,2,2367,Mike Pierce (2011-11-12)
789,Katsunori Kikuno,5,2367,Diego Brandao (2015-09-27)
790,Allen Crowder,1,2366,Justin Willis (2017-12-02)
791,Marcin Held,4,2366,Joe Lauzon (2017-01-15)
792,Andrew Sanchez,5,2366,Trevor Smith (2016-12-09)
793,Kyung Ho Kang,6,2366,Shunichi Shimizu (2014-01-04)
794,Mac Danzig,13,2366,Jim Miller (2009-07-11)
795,John Cholish,3,2366,Gleison Tibau (2013-05-18)
796,Branden Lee Hinkle,3,2366,Jason Lambert (2006-06-28)
797,Josh Schockman,1,2366,Jake O'Brien (2006-11-18)
798,Ian Loveland,3,2366,Joseph Benavidez (2011-03-19)
799,Marcos Rogerio de Lima,7,2366,Gadzhimurad Antigulov (2016-11-19)
800,Maximo Blanco,9,2365,Luke Sanders (2016-01-17)
801,Jerrod Sanders,4,2365,Pedro Munhoz (2014-10-04)
802,Vinny Magalhaes,5,2365,Phil Davis (2013-04-27)
803,Jason Saggo,6,2365,Rustam Khabilov (2016-12-10)
804,Shane Primm,1,2365,Krzysztof Soszynski (2008-12-13)
805,Piotr Hallmann,6,2365,Gleison Tibau (2014-09-13)
806,Lucie Pudilova,4,2365,Ji Yeon Kim (2017-06-17)
807,Kerry Schall,1,2365,Keith Jardine (2005-11-05)
808,Kurt Pellegrino,12,2365,George Sotiropoulos (2010-07-03)
809,Che Mills,4,2365,Rory MacDonald (2012-04-21)
810,Phillipe Nover,7,2364,Yui Chul Nam (2015-05-16)
811,Alex Morono,6,2364,Keita Nakamura (2017-09-23)
812,Godofredo Pepey,11,2364,Shane Burgos (2017-07-22)
813,Kyle Kingsbury,9,2364,Ricardo Romero (2011-02-05)
814,Felice Herrig,8,2364,Alexa Grasso (2017-02-04)
815,Duane Ludwig,9,2364,Jim Miller (2010-01-02)
816,Jonathan Goulet,9,2364,Mike Swick (2008-12-10)
817,Jason MacDonald,14,2364,Alan Belcher (2011-09-17)
818,Gavin Tucker,2,2363,Rick Glenn (2017-09-09)
