Rank,Fighter,Fights,Average Opponent Rating,Highest Rated Opponent
1327,Brad Scott,8,2269,Jack Hermansson (2017-08-05)
1328,Dileno Lopes,2,2268,Reginaldo Vieira (2015-08-01)
1329,Norifumi Yamamoto,4,2268,Demetrious Johnson (2011-02-05)
1330,Jess Liaudin,5,2268,Marcus Davis (2008-01-19)
1331,Christian Wellisch,5,2267,Jake O'Brien (2009-01-31)
1332,Diego Rivas,4,2267,Jose Alberto Quinonez (2017-08-05)
1333,Ronald Jhun,1,2267,Chris Lytle (2004-08-21)
1334,Chris Cariaso,13,2267,Demetrious Johnson (2014-09-27)
1335,Steve Berger,3,2267,Robbie Lawler (2002-06-22)
1336,Chris Tuchscherer,4,2266,Gabriel Gonzaga (2009-08-29)
1337,David Heath,5,2266,Renato Sobral (2007-08-25)
1338,Mark Weir,3,2266,Phillip Miller (2002-11-22)
1339,Kenichi Yamamoto,3,2266,Pat Miletich (2000-12-16)
1340,Jessica-Rose Clark,3,2264,Paige VanZant (2018-01-14)
1341,Rolando Delgado,3,2264,Paul Kelly (2009-06-13)
1342,Keith Berish,2,2264,Ryan Janes (2016-12-09)
1343,Chris Clements,5,2264,Nordine Taleb (2015-04-25)
1344,Jon Madsen,5,2263,Mike Russow (2011-03-26)
1345,John Salter,3,2263,Dan Miller (2010-08-28)
1346,Ian Entwistle,3,2263,Anthony Birchak (2014-12-13)
1347,Marcelo Golm,2,2262,Timothy Johnson (2018-02-03)
1348,Andy Enz,3,2262,Clint Hester (2014-02-01)
1349,Dmitry Smolyakov,2,2262,Cyril Asker (2017-01-15)
1350,Edgar Garcia,4,2261,Brad Blackburn (2009-06-20)
1351,Tony DeSouza,6,2261,Thiago Alves (2006-12-30)
1352,Scott Smith,4,2260,David Terrell (2006-04-15)
1353,Mike Nickels,2,2259,Stephan Bonnar (2007-07-07)
1354,Danillo Villefort,1,2259,Jesse Lennox (2009-08-08)
1355,Wesley Correira,4,2259,Andrei Arlovski (2004-04-02)
1356,Joe Merritt,1,2258,Alex Oliveira (2015-06-27)
1357,Germaine de Randamie,5,2258,Holly Holm (2017-02-11)
1358,Nissen Osterneck,1,2257,Jorge Rivera (2009-04-01)
1359,Mike Rio,4,2257,Tony Ferguson (2013-10-19)
1360,Yves Edwards,21,2257,Jeremy Stephens (2012-12-08)
1361,C.J. Keith,2,2257,Francisco Trinaldo (2013-01-19)
1362,Clint Hester,7,2257,Robert Whittaker (2014-11-07)
1363,Kalindra Faria,3,2257,Joanne Calderwood (2018-08-25)
1364,Edwin Figueroa,6,2256,Erik Perez (2013-11-16)
1365,Mike Guymon,4,2256,DaMarques Johnson (2011-01-22)
1366,Dustin Pague,6,2256,Kyoji Horiguchi (2013-10-19)
1367,Amanda Cooper,5,2256,Mackenzie Dern (2018-05-12)
1368,Mike Kyle,3,2256,James Irvin (2005-02-05)
1369,Patrick Walsh,2,2256,Dan Kelly (2015-02-14)
1370,Anying Wang,2,2256,Colby Covington (2014-08-23)
1371,Jonathan Wilson,4,2256,Oskar Piechota (2017-10-21)
1372,Steve Montgomery,2,2255,Dan Kelly (2015-11-15)
1373,Jay Silva,2,2254,C.B. Dollaway (2009-09-16)
1374,Pascal Krauss,4,2254,John Hathaway (2012-05-05)
1375,Yosdenis Cedeno,4,2254,Chad Laprise (2014-10-04)
1376,Jake Collier,6,2254,Devin Clark (2017-04-15)
1377,Andy Ogle,6,2253,Charles Oliveira (2014-02-15)
1378,Manny Bermudez,2,2253,Albert Morales (2018-02-24)
1379,Will Chope,1,2253,Max Holloway (2014-01-04)
1380,Chris Holdsworth,2,2252,Chico Camus (2014-05-24)
1381,Kit Cope,1,2252,Kenny Florian (2005-11-05)
1382,Hugo Viana,6,2252,T.J. Dillashaw (2013-04-20)
1383,Colton Smith,4,2252,Michael Chiesa (2013-11-06)
1384,Masio Fullen,3,2252,Makwan Amirkhani (2015-06-20)
1385,Alex Schoenauer,1,2252,Mike Swick (2005-04-09)
1386,Dongi Yang,5,2251,Court McGee (2011-09-17)
1387,Rich Clementi,10,2251,Gray Maynard (2008-10-25)
1388,Geza Kalman,2,2250,Joel Sutton (1995-09-08)
1389,Nate Loughran,2,2250,Tim Credeur (2008-12-10)
1390,Nick Sanzo,2,2250,Jerry Bohlander (1997-02-07)
1391,Roman Mitichyan,2,2250,George Sotiropoulos (2008-04-02)
1392,Aaron Rosa,3,2250,James Te Huna (2012-03-03)
1393,Dan Bobish,2,2250,Brian Johnston (1997-07-27)
1394,Dustin Kimura,5,2249,George Roop (2014-04-16)
1395,Justin Edwards,7,2249,Brandon Thatch (2013-08-28)
1396,Christian Colombo,3,2249,Jarjis Danho (2016-09-03)
1397,Ben Earwood,1,2249,Chris Lytle (2000-11-17)
1398,Nick Serra,1,2248,Benji Radach (2002-06-22)
1399,Mark Hall,7,2248,Don Frye (1996-07-12)
1400,Yao Zhikui,4,2247,Fredy Serrano (2015-11-28)
1401,Barb Honchak,2,2247,Roxanne Modafferi (2018-07-06)
1402,Eddie Yagin,2,2246,Mark Hominick (2012-04-21)
1403,Phil Johns,1,2246,Fabiano Iha (2001-02-23)
1404,James Mulheron,1,2246,Justin Willis (2017-07-16)
1405,Shonie Carter,6,2245,Pat Miletich (2001-06-29)
1406,Aisling Daly,3,2245,Alex Chambers (2014-12-12)
1407,Enrique Marin,2,2244,Sage Northcutt (2016-07-09)
1408,David Lee,2,2244,Tyson Griffin (2006-09-23)
1409,Gilbert Smith,1,2244,Bubba McDaniel (2013-04-13)
1410,Gerald Harris,4,2243,David Branch (2010-07-03)
1411,Benji Radach,3,2243,Sean Sherk (2002-09-27)
1412,James McSweeney,3,2243,Travis Browne (2010-06-19)
1413,Jeff Hougland,3,2243,Yves Jabouin (2012-05-15)
1414,Kelly Dullanty,1,2243,Matt Serra (2002-03-22)
1415,Pat Audinwood,2,2242,Thiago Tavares (2010-09-25)
1416,Justin Jones,2,2242,Corey Anderson (2014-12-06)
1417,Montana De La Rosa,2,2242,Christina Marks (2017-12-01)
1418,Mackens Semerzier,3,2242,Robbie Peralta (2011-11-12)
1419,Gary Goodridge,8,2241,Don Frye (1996-12-07)
1420,Brock Larson,6,2241,Mike Pyle (2009-05-23)
1421,Tiago Trator,4,2241,Shane Burgos (2016-12-09)
1422,Daniel Pineda,7,2240,Diego Brandao (2013-08-17)
1423,Tiequan Zhang,4,2240,Darren Elkins (2011-10-08)
1424,Aaron Riley,9,2239,Shane Nelson (2009-08-08)
1425,Ryan Jensen,8,2239,Thales Leites (2007-08-25)
1426,Kyle Watson,2,2239,John Makdessi (2011-04-30)
1427,Javier Vazquez,1,2239,Joe Stevenson (2011-06-26)
1428,Townsend Saunders,2,2238,Mikey Burnett (1999-01-08)
1429,Steve Jennum,3,2238,Tank Abbott (1995-12-16)
1430,Jason Reinhardt,3,2238,Joe Lauzon (2007-11-17)
1431,Larissa Pacheco,2,2238,Jessica Andrade (2014-09-13)
1432,Mike Stumpf,2,2238,TJ Waldburger (2011-09-17)
1433,Ian Freeman,6,2238,Frank Mir (2002-07-13)
1434,Willamy Freire,1,2238,Waylon Lowe (2011-01-22)
1435,Rob Kimmons,7,2238,Dan Miller (2008-09-17)
1436,Geoff Neal,2,2237,Brian Camozzi (2018-02-18)
1437,Konstantin Erokhin,2,2237,Gabriel Gonzaga (2015-12-11)
1438,Royston Wee,3,2237,Ning Guangyou (2015-05-16)
1439,Reginaldo Vieira,3,2237,Marco Beltran (2016-07-07)
1440,Guy Mezger,5,2237,Tito Ortiz (1999-03-05)
1441,Brad Morris,2,2236,Cain Velasquez (2008-04-19)
1442,Chase Gormley,2,2236,Stefan Struve (2009-10-24)
1443,Tiki Ghosn,4,2235,Robbie Lawler (2002-11-22)
1444,Scott Ferrozzo,5,2235,Tank Abbott (1996-09-20)
1445,Mike Ciesnolevicz,2,2235,Tomasz Drwal (2009-06-20)
1446,Lauren Mueller,1,2235,Shana Dobson (2018-04-14)
1447,David Abbott,4,2235,Frank Mir (2003-02-28)
1448,Steven Lynch,1,2234,Dustin Hazelett (2007-06-16)
1449,Sam Adkins,4,2233,Tank Abbott (1996-09-20)
1450,Marcus Bossett,3,2233,Steve Nelmark (1996-12-07)
1451,Mikey Burnett,3,2233,Pat Miletich (1998-10-16)
1452,Tyler Toner,1,2233,Ian Loveland (2010-12-04)
1453,Cole Escovedo,3,2233,Renan Barao (2011-05-28)
1454,Ning Guangyou,4,2233,Royston Wee (2015-05-16)
1455,Paul Varelans,8,2233,Dan Severn (1995-12-16)
1456,Harry Moskowitz,2,2232,Alex Hunter (1997-10-17)
1457,Don Frye,10,2232,Mark Hall (1996-07-12)
1458,Josh Grispi,4,2232,Rani Yahya (2012-08-04)
1459,Augusto Sakai,1,2232,Chase Sherman (2018-09-22)
1460,Yuri Villefort,2,2232,Nah-Shon Burrell (2013-02-23)
1461,Troy Mandaloniz,2,2231,Paul Kelly (2009-02-21)
1462,Danny Martinez,4,2231,Sirwan Kakai (2015-06-27)
1463,Daiju Takase,3,2230,Jeremy Horn (1999-07-16)
1464,Mackenzie Dern,2,2229,Amanda Cooper (2018-05-12)
1465,Jason Dent,4,2229,George Sotiropoulos (2009-11-21)
1466,Andre Roberts,3,2229,Ron Waterman (1999-07-16)
1467,Carlo Pedersoli Jr.,1,2228,Brad Scott (2018-05-27)
1468,Steve Nelmark,3,2228,Tank Abbott (1996-12-07)
1469,Rob Emerson,7,2228,Kurt Pellegrino (2009-02-07)
1470,Mark Robinson,1,2228,Bobby Hoffman (2001-02-23)
1471,Tedd Williams,2,2228,Ian Freeman (2000-09-22)
1472,Jeff Cox,2,2227,Manvel Gamburyan (2008-04-02)
1473,Naoki Inoue,2,2227,Matt Schnell (2018-06-23)
1474,Richardson Moreira,2,2227,Ildemar Alcantara (2015-01-31)
1475,Steve Kennedy,2,2226,Peter Sobotta (2015-06-20)
1476,Ansar Chalangov,2,2226,Josh Koscheck (2006-04-06)
1477,Shana Dobson,2,2226,Lauren Mueller (2018-04-14)
1478,Milana Dudieva,3,2225,Marion Reneau (2016-11-19)
1479,Jim Wallhead,2,2225,Jessin Ayari (2016-09-03)
1480,Jessamyn Duke,4,2225,Peggy Morgan (2013-11-30)
1481,Joe Moreira,2,2224,Paul Varelans (1996-02-16)
1482,Alex Karalexis,3,2224,Jason Von Flue (2006-01-16)
1483,Colin Robinson,2,2224,Eddie Sanchez (2007-06-16)
1484,Jason Gilliam,2,2223,Chris Lytle (2007-07-07)
1485,Forrest Petz,7,2223,Josh Burkman (2007-10-20)
1486,Jerry Bohlander,7,2223,Kevin Jackson (1998-03-13)
1487,Jared Papazian,3,2223,Mike Easton (2012-01-20)
1488,Kailin Curran,7,2223,Xiaonan Yan (2017-11-25)
1489,Edilberto de Oliveira,2,2223,Luke Cummo (2007-09-19)
1490,Yoji Anjo,3,2222,Tank Abbott (1997-12-21)
1491,Bernardo Magalhaes,2,2222,Tim Means (2012-02-15)
1492,Ashlee Evans-Smith,6,2222,Marion Reneau (2016-02-21)
1493,Keith Rockel,2,2222,Chris Liguori (2003-11-21)
1494,Ericka Almeida,2,2222,Juliana Lima (2015-05-30)
1495,Anton Kuivanen,3,2221,Michael Chiesa (2013-02-23)
1496,Allen Berube,1,2220,Leonard Garcia (2007-06-23)
1497,Fabiano Iha,7,2220,LaVerne Clark (2000-09-22)
1498,Felipe Olivieri,1,2220,Tony Martin (2016-01-30)
1499,Marcelo Guimaraes,4,2220,Vitor Miranda (2016-03-05)
1500,Matt Lucas,1,2219,Aaron Rosa (2011-11-12)
1501,Rachael Ostovich,2,2219,Montana De La Rosa (2018-07-06)
1502,Fredy Serrano,4,2218,Bentley Syler (2015-03-21)
1503,Lisa Ellis,2,2218,Felice Herrig (2014-12-12)
1504,Alex Soto,2,2218,Michael McDonald (2011-11-19)
1505,Tateki Matsuda,2,2217,Chris Beal (2014-09-05)
1506,Ronys Torres,2,2217,Melvin Guillard (2010-02-06)
1507,Iliarde Santos,3,2217,Iuri Alcantara (2013-05-18)
1508,Gideon Ray,3,2217,Mike Swick (2005-08-06)
1509,Tony Fryklund,4,2216,Ivan Salaverry (2004-10-22)
1510,Anthony Macias,3,2216,Oleg Taktarov (1995-07-14)
1511,Joseph Sandoval,2,2216,Nick Denis (2012-01-20)
1512,Emily Whitmire,2,2215,Jamie Moyle (2018-07-07)
1513,Noad Lahat,4,2215,Diego Rivas (2016-02-06)
1514,Sai Wang,2,2214,Danny Mitchell (2014-08-23)
1515,Garett Whiteley,3,2213,Alan Patrick (2013-10-09)
1516,Jake Lindsey,3,2213,Jon Tuck (2014-06-07)
1517,Reuben Duran,4,2213,George Roop (2013-03-16)
1518,Paweł Pawlak,3,2213,Leon Edwards (2015-07-18)
1519,Eddie Gordon,4,2213,Josh Samman (2014-12-06)
1520,Scott Bessac,2,2212,Joe Charles (1995-12-16)
1521,Henry Martinez,3,2212,Daron Cruickshank (2012-12-08)
1522,Jorge de Oliveira,2,2212,Christos Giagos (2015-03-21)
1523,Jeremy Larsen,3,2210,Lucas Martins (2013-05-18)
1524,Gokhan Saki,2,2209,Khalil Rountree Jr. (2018-07-07)
1525,John Gunderson,3,2209,Yves Edwards (2010-09-15)
1526,John Halverson,2,2209,Roger Huerta (2007-02-03)
1527,Chris Avila,2,2209,Enrique Barzola (2016-11-05)
1528,Nah-Shon Burrell,2,2209,Stephen Thompson (2013-05-25)
1529,David Michaud,3,2208,Olivier Aubin-Mercier (2015-04-25)
1530,Joe Vedepo,2,2207,Alessio Sakara (2008-09-17)
1531,Motonobu Tezuka,2,2207,Alex Caceres (2012-11-10)
1532,Matt Grice,7,2206,Ricardo Lamas (2011-06-26)
1533,Dustin Jacoby,2,2206,Chris Camozzi (2012-01-28)
1534,Cody East,2,2206,Walt Harris (2016-04-23)
1535,Leonard Garcia,9,2206,Max Holloway (2012-12-29)
1536,Josh Bryant,1,2204,Kyle Noke (2010-06-19)
1537,Kimbo Slice,2,2204,Matt Mitrione (2010-05-08)
1538,Jessica Rakoczy,2,2203,Valerie Letourneau (2015-04-25)
1539,Adam Wieczorek,2,2202,Arjan Bhullar (2018-04-14)
1540,Jason Von Flue,3,2202,Joe Riggs (2006-08-17)
1541,Luke Cummo,7,2201,Jason Von Flue (2006-04-06)
1542,Jesse Forbes,3,2201,Nick Catone (2010-01-11)
1543,Kelly Faszholz,2,2200,Lauren Murphy (2016-02-21)
1544,Aaron Wilkinson,1,2200,Cody McKenzie (2010-12-04)
1545,Adam Cella,1,2200,Tor Troeng (2013-04-06)
1546,Adriano Santos,1,2200,Tulio Palhares (1998-10-16)
1547,Albert Cheng,1,2200,Anying Wang (2014-03-01)
1548,Alberto Cerro Leon,1,2200,Remco Pardoel (1994-03-11)
1549,Alex Stiebling,1,2200,Mark Hughes (2000-11-17)
1550,Alex Torres,1,2200,Masio Fullen (2015-02-28)
1551,Alexis Dufresne,2,2200,Marion Reneau (2015-01-03)
1552,Alfonso Alcarez,1,2200,Jens Pulver (1999-09-24)
1553,Allan Goes,1,2200,Dan Henderson (1998-05-15)
1554,Allan Zuniga,1,2200,John Gunther (2018-07-06)
1555,Andy Anderson,1,2200,Jon Hess (1995-04-07)
1556,Andy Wang,1,2200,Cole Miller (2007-06-23)
1557,Art Jimmerson,1,2200,Royce Gracie (1993-11-12)
1558,Asbel Cancio,1,2200,Dave Beneteau (1995-04-07)
1559,Bentley Syler,1,2200,Fredy Serrano (2015-03-21)
1560,Billy Miles,1,2200,George Sotiropoulos (2007-12-08)
1561,Bob Cook,1,2200,Tiki Ghosn (2000-03-10)
1562,Bob Gilstrap,1,2200,Carlos Newton (1998-05-15)
1563,Bobby Southworth,1,2200,Sam Hoger (2005-04-09)
1564,Brendan Loughnane,1,2200,Mike Wilkinson (2012-12-15)
1565,Bristol Marunde,2,2200,Viscardi Andrade (2013-08-03)
1566,Cale Yarbrough,1,2200,Tim Credeur (2008-07-19)
1567,Cesar Marscucci,1,2200,Paulo Santos (1998-10-16)
1568,Chris Condo,1,2200,Ron Waterman (1999-05-07)
1569,Chris Saunders,1,2200,Myles Jury (2012-06-01)
1570,Chris Tickle,1,2200,Daron Cruickshank (2012-06-01)
1571,Christina Marks,1,2200,Montana De La Rosa (2017-12-01)
1572,Cory Walmsley,1,2200,David Heath (2006-08-26)
1573,Courtney Turner,1,2200,Chris Brennan (1998-03-13)
1574,Dan Barrera,1,2200,Ben Saunders (2007-12-08)
1575,Dan Stittgen,2,2200,Marcelo Guimaraes (2012-07-11)
1576,Daniel Spohn,1,2200,Patrick Walsh (2014-07-06)
1577,Dante Rivera,1,2200,Matthew Riddle (2008-06-21)
1578,Dave Berry,1,2200,Roberto Traven (1996-09-20)
1579,Dave Galera,1,2200,Royston Wee (2014-01-04)
1580,Dave Roberts,1,2200,Marcelo Mello (1999-05-07)
1581,Dave Strasser,2,2200,Romie Aram (2003-04-25)
1582,David Levicki,1,2200,Johnny Rhodes (1994-03-11)
1583,David Velasquez,1,2200,Jens Pulver (2000-03-10)
1584,Delson Heleno,1,2200,Francisco Trinaldo (2012-06-23)
1585,Dmitri Stepanov,1,2200,Steven Graham (1997-05-30)
1586,Donnie Chappell,1,2200,Tony Fryklund (1997-07-27)
1587,Dorian Price,1,2200,Roman Mitichyan (2007-12-08)
1588,Eldo Dias Xavier,1,2200,Marcus Bossett (1994-12-16)
1589,Emmanuel Yarborough,1,2200,Keith Hackney (1994-09-09)
1590,Enson Inoue,1,2200,Royce Alger (1997-05-30)
1591,Eric Martin,1,2200,Justin Martin (1997-02-07)
1592,Ernie Verdicia,1,2200,Oleg Taktarov (1995-04-07)
1593,Eugenio Tadeu,1,2200,Mikey Burnett (1998-03-13)
1594,Fabio Gurgel,1,2200,Jerry Bohlander (1996-09-20)
1595,Flavio Luiz Moura,1,2200,Paul Jones (1999-07-16)
1596,Francesco Maturi,1,2200,Onassis Parungao (1995-09-08)
1597,Frank Lester,1,2200,Nick Osipczak (2009-06-20)
1598,Fred Ettish,1,2200,Johnny Rhodes (1994-03-11)
1599,Freek Hamaker,1,2200,Thaddeus Luster (1994-03-11)
1600,Genki Sudo,3,2200,Mike Brown (2004-04-02)
1601,Gerald Strebendt,1,2200,Josh Thomson (2003-09-26)
1602,Gerard Gordeau,3,2200,Kevin Rosier (1993-11-12)
1603,Gerry Harris,1,2200,Paul Varelans (1995-09-08)
1604,Harold Howard,3,2200,Roland Payne (1994-09-09)
1605,Houston Dorr,1,2200,Dwayne Cason (1997-10-17)
1606,Hugo Duarte,1,2200,David Abbott (1998-05-15)
1607,Humberto Brown,1,2200,Gabriel Benitez (2014-11-15)
1608,Icho Larenas,1,2200,Tom Murphy (2006-03-04)
1609,Izabela Badurek,1,2200,Aleksandra Albu (2015-04-11)
1610,Jack McLaughlin,1,2200,Joel Sutton (1995-07-14)
1611,Jackie Lee,1,2200,Nick Sanzo (1997-02-07)
1612,James Hammortree,1,2200,Chris Camozzi (2010-06-19)
1613,James Zikic,1,2200,Phillip Miller (2002-07-13)
1614,Jamie Yager,1,2200,Rich Attonito (2010-06-19)
1615,Jared Rollins,1,2200,Jon Koppenhaver (2007-12-08)
1616,Jason Fairn,1,2200,Guy Mezger (1994-12-16)
1617,Jay Cucciniello,1,2200,Brad Katona (2018-07-06)
1618,Jermaine Andre,1,2200,Lance Gibson (2000-03-10)
1619,Jian Ping Yang,1,2200,Ning Guangyou (2014-08-23)
1620,Jimmy Quinlan,1,2200,Dylan Andrews (2013-04-13)
1621,Joe Pardo,1,2200,Mike Van Arsdale (1998-05-15)
1622,Joel Sutton,2,2200,Geza Kalman (1995-09-08)
1623,Joey Gilbert,1,2200,B.J. Penn (2001-05-04)
1624,Joey Roberts,1,2200,Sione Latu (1999-03-05)
1625,John Gunther,1,2200,Allan Zuniga (2018-07-06)
1626,John Kolosci,1,2200,Matt Arroyo (2007-12-08)
1627,John Matua,1,2200,Tank Abbott (1995-07-14)
1628,John Polakowski,1,2200,Rolando Delgado (2008-12-13)
1629,John Teixeira,1,2200,Hugo Viana (2012-06-23)
1630,Jon Hess,1,2200,Andy Anderson (1995-04-07)
1631,Jon Koppenhaver,2,2200,Jared Rollins (2007-12-08)
1632,Jon Manley,1,2200,Neil Magny (2013-02-23)
1633,Jonathan Wiezorek,1,2200,Wade Shipp (2004-04-02)
1634,Josh Rafferty,1,2200,Alex Karalexis (2005-04-09)
1635,Josh Stuart,1,2200,LaVerne Clark (1998-03-13)
1636,Jules Bruchez,1,2200,Eliot Marshall (2008-12-13)
1637,Justin Martin,1,2200,Eric Martin (1997-02-07)
1638,Justin Wren,1,2200,Jon Madsen (2009-12-05)
1639,Katsuhisa Fujii,2,2200,Masutatsu Yano (1999-11-19)
1640,Kazushi Sakuraba,1,2200,Marcus Silveira (1997-12-21)
1641,Keigo Kunihara,1,2200,Marcio Cruz (2005-10-07)
1642,Keith Mielke,1,2200,Sam Adkins (1996-02-16)
1643,Kevin Rosier,3,2200,Zane Frazier (1993-11-12)
1644,Larry Cureton,2,2200,Marco Ruas (1995-09-08)
1645,Lodune Sincaid,1,2200,Nate Quarry (2005-04-09)
1646,Logan Clark,1,2200,Steve Byrnes (2006-12-13)
1647,Lowell Anderson,1,2200,John Lewis (1999-09-24)
1648,Manuel Rodriguez,1,2200,Ben Alloway (2012-12-15)
1649,Marcelo Mello,1,2200,Dave Roberts (1999-05-07)
1650,Marcus Jones,1,2200,Matt Mitrione (2009-12-05)
1651,Marcus Silveira,1,2200,Kazushi Sakuraba (1997-12-21)
1652,Mario Neto,1,2200,Eddie Sanchez (2006-09-23)
1653,Mark Hughes,1,2200,Alex Stiebling (2000-11-17)
1654,Mark Scanlon,1,2200,Pascal Krauss (2010-11-13)
1655,Masutatsu Yano,1,2200,Katsuhisa Fujii (1999-11-19)
1656,Matt Andersen,1,2200,Rafael Carino (1996-05-17)
1657,Mike Trizano,1,2200,Joe Giannetti (2018-07-06)
1658,Moti Horenstein,2,2200,Mark Kerr (1997-07-27)
1659,Nick Denis,2,2200,Roland Delorme (2012-05-05)
1660,Noe Hernandez,1,2200,Chuck Liddell (1998-05-15)
1661,Onassis Parungao,1,2200,Francesco Maturi (1995-09-08)
1662,Orlando Wiet,2,2200,Robert Lucarelli (1994-03-11)
1663,Paul Herrera,1,2200,Gary Goodridge (1996-02-16)
1664,Paulo Santos,1,2200,Cesar Marscucci (1998-10-16)
1665,Rafael Carino,1,2200,Matt Andersen (1996-05-17)
1666,Rich Crunkilton,1,2200,Hermes Franca (2003-04-25)
1667,Richie Hightower,1,2200,Troy Mandaloniz (2007-12-08)
1668,Robert Lucarelli,1,2200,Orlando Wiet (1994-03-11)
1669,Roberto Traven,2,2200,Dave Berry (1996-09-20)
1670,Rocky Lee,1,2200,Taylor Lapilus (2015-04-11)
1671,Rodolfo Rubio,1,2200,Diego Rivas (2014-11-08)
1672,Rodrigo Ruas,1,2200,Tony Fryklund (2002-06-22)
1673,Roland Payne,1,2200,Harold Howard (1994-09-09)
1674,Rolles Gracie Jr.,1,2200,Joey Beltran (2010-02-06)
1675,Royce Alger,2,2200,Eugene Jackson (1999-07-16)
1676,Sako Chivitchian,1,2200,Kyle Watson (2010-12-04)
1677,Sam Morgan,2,2200,Forrest Petz (2006-08-17)
1678,Scott Adams,1,2200,Ian Freeman (2000-03-10)
1679,Scott Fiedler,1,2200,Brian Johnston (1996-07-12)
1680,Sean Daugherty,1,2200,Scott Morris (1994-03-11)
1681,Sean Gannon,1,2200,Branden Lee Hinkle (2005-10-07)
1682,Sherman Pendergarst,1,2200,Antoni Hardonk (2006-11-18)
1683,Sione Latu,1,2200,Joey Roberts (1999-03-05)
1684,Stephen Bass,1,2200,Marcus Brimage (2011-12-03)
1685,Steve Byrnes,1,2200,Logan Clark (2006-12-13)
1686,Steven Graham,2,2200,Dmitri Stepanov (1997-05-30)
1687,Tai Bowden,2,2200,Jack Nilson (1996-12-07)
1688,Teila Tuli,1,2200,Gerard Gordeau (1993-11-12)
1689,Thaddeus Luster,1,2200,Freek Hamaker (1994-03-11)
1690,Thomas Ramirez,1,2200,Don Frye (1996-02-16)
1691,Todd Butler,1,2200,Kevin Jackson (1997-07-27)
1692,Todd Medina,2,2200,Larry Cureton (1995-04-07)
1693,Tom Egan,1,2200,John Hathaway (2009-01-17)
1694,Tom Murphy,1,2200,Icho Larenas (2006-03-04)
1695,Tony Halme,1,2200,Randy Couture (1997-05-30)
1696,Trent Jenkins,2,2200,Mark Hall (1995-12-16)
1697,Tulio Palhares,1,2200,Adriano Santos (1998-10-16)
1698,Vernon Ramos,1,2200,Alvaro Herrera (2015-11-21)
1699,Wade Shipp,1,2200,Jonathan Wiezorek (2004-04-02)
1700,Wagner Campos,1,2200,Marcos Vinicius (2012-06-23)
1701,Wallid Ismail,1,2200,Yoshiaki Takahashi (1997-02-07)
1702,Wes Albritton,1,2200,Tito Ortiz (1997-05-30)
1703,Yoshiaki Takahashi,1,2200,Wallid Ismail (1997-02-07)
1704,Zach Light,1,2200,Pete Spratt (2002-06-22)
1705,Sheldon Westcott,3,2200,Elias Theodorou (2014-04-16)
1706,Jarjis Danho,2,2199,Christian Colombo (2016-09-03)
1707,Song Kenan,2,2199,Hector Aldana (2018-06-23)
1708,Josh Haynes,3,2199,Rory Singer (2006-10-10)
1709,Anistavio Medeiros,1,2198,Rodrigo Damm (2012-06-23)
1710,Carlos Barreto,1,2198,Dave Beneteau (1997-10-17)
1711,Abu Azaitar,1,2197,Vitor Miranda (2018-07-22)
1712,Besam Yousef,2,2196,Simeon Thoresen (2012-04-14)
1713,Alvaro Herrera,4,2196,Vicente Luque (2016-07-07)
1714,Brad Kohler,2,2195,Steve Judson (1999-09-24)
1715,Cal Worsham,3,2195,Tank Abbott (1996-12-07)
1716,Anna Elmose,2,2195,Germaine de Randamie (2016-05-08)
1717,Dustin Neace,1,2195,Bryan Caraway (2011-12-03)
1718,Charlie Valencia,1,2193,Ivan Menjivar (2011-04-30)
1719,Danny Mitchell,2,2193,Igor Araujo (2014-03-08)
1720,Syuri Kondo,2,2193,Poliana Botelho (2018-05-19)
1721,Simeon Thoresen,3,2192,Seth Baczynski (2012-09-22)
1722,Joe Veres,2,2192,Corey Hill (2008-01-23)
1723,Chris Indich,2,2191,Richard Walsh (2014-04-16)
1724,Hector Aldana,1,2191,Song Kenan (2018-06-23)
1725,Nate Mohr,4,2191,Kurt Pellegrino (2007-04-05)
1726,Sam Hoger,5,2191,Rashad Evans (2006-04-06)
1727,Shane Nelson,4,2191,Matt Wiman (2009-12-12)
1728,Rashad Coulter,3,2190,Tai Tuivasa (2017-11-19)
1729,Ivan Jorge,4,2190,Rodrigo Damm (2014-02-15)
1730,Matt Arroyo,3,2189,Dan Cramer (2009-01-31)
1731,Ross Pointon,2,2189,Rich Clementi (2007-01-25)
1732,Wuliji Buren,2,2188,Marlon Vera (2018-08-04)
1733,Aleksandra Albu,2,2188,Izabela Badurek (2015-04-11)
1734,Samy Schiavo,2,2187,Clay Guida (2008-04-02)
1735,Johnny Rhodes,3,2187,Fred Ettish (1994-03-11)
1736,Andrea Lee,1,2187,Veronica Macedo (2018-05-19)
1737,Jason Black,2,2187,Thiago Tavares (2007-06-12)
1738,Roman Salazar,3,2186,Mitch Gagnon (2014-10-04)
1739,Dave Kaplan,2,2183,Junie Browning (2008-12-13)
1740,Paul Jones,2,2182,Flavio Luiz Moura (1999-07-16)
1741,Dylan Andrews,5,2181,Clint Hester (2013-12-07)
1742,Scott Morris,2,2181,Sean Daugherty (1994-03-11)
1743,Milton Vieira,2,2181,Felipe Arantes (2012-06-23)
1744,Todd Brown,2,2179,Tim Boetsch (2010-08-07)
1745,CM Punk,2,2178,Mickey Gall (2016-09-10)
1746,Victor Valimaki,2,2178,David Heath (2006-12-13)
1747,Dale Hartt,3,2177,Shannon Gugerty (2008-07-19)
